Season (Which subfolder to put file in, . for show's root folder, .. for downloads folder root)	Filename (Revision3 messed up some filenames, this column is used to fix that)	Download Name (Filename that the downloader spit out, useful when downloading from youtube)	Download Link	MD5	SHA256
Season_01	hak5-ep1.avi	hak5-ep1.avi	http://pkvpn.com/hak5/S01/hak5-ep1.avi	817d6461a4901db810a538cd3048f2ae	0da9eb29c70b9e6a312ac9825c279728cfaf5ff4b0120a3ee29ac1721744f575
Season_01	hak5-ep2.avi	hak5-ep2.avi	http://pkvpn.com/hak5/S01/hak5-ep2.avi	eedca6908298ffe499c98e7d81672a7f	2bba084607185c997afa8fbfcd18b73f87177933e4ad42d3761bd14768c6194c
Season_01	hak5-ep3.avi	hak5-ep3.avi	http://pkvpn.com/hak5/S01/hak5-ep3.avi	e94ee300627af01e41d8ab014df34491	9ac69b8951b9dc70b2ef02660ba73f63742b7319e8171c7663914b82e3517fa3
Season_01	hak5-ep3.5.avi	hak5-ep3.5.avi	http://pkvpn.com/hak5/S01/hak5-ep3.5.avi	b8dbf961b0c8143c3b3b583ac6b3a554	2b78cf05947fd157adaa067ce853135ecec93b9f95016b2fea88fdc85b1c872d
Season_01	hak5-ep4.avi	hak5-ep4.avi	http://pkvpn.com/hak5/S01/hak5-ep4.avi	b5d2a5419821567e617c9cb9bef2930d	f86ceb9336cd3e75bd62a119d41d6003e85c6a1dbc3831d3d8f632c660c7e98e
Season_01	hak5-ep4.5.avi	hak5-ep4.5.avi	http://pkvpn.com/hak5/S01/hak5-ep4.5.avi	aabd0dad9ee1592f9f59caf5fe276939	87c2648bd4728b777c56832c5c0c10bd9c04b56eee0581fe3d3210110c8e6379
Season_01	hak5-ep5.avi	hak5-ep5.avi	http://pkvpn.com/hak5/S01/hak5-ep5.avi	9ed9aa4f8aa3002d8bfa0e9a8d2bedf7	63bd6ea6b587785059aaa06f60d76828cc34a44e73dc0396ba1213fb9f0d8d45
Season_01	hak5-ep5.5-xmas.avi	hak5-ep5.5-xmas.avi	http://pkvpn.com/hak5/S01/hak5-ep5.5-xmas.avi	431fcee0f44045c04ba1d290880980fa	9869a84343adbc35cf15409b2e6a064a42ccc3cebeba2b1684326fbc416734d9
Season_01	hak5-ep6.avi	hak5-ep6.avi	http://pkvpn.com/hak5/S01/hak5-ep6.avi	285369c706d3df41474ff1f4afb06265	888e6a6d9e0945065c00fbbbaf35a7a18a5664c0392ae38526368e51c20da211
Season_01	hak5-ep7.avi	hak5-ep7.avi	http://pkvpn.com/hak5/S01/hak5-ep7.avi	4dbe5492d27168c1444ee1380c53053a	db4e80c16fa0c61090265f1293d110a5178571782c8ce162b04d81b4c423dfa8
