"Season (Which subfolder to put file in, ""."" for show's root folder, "".."" for downloads folder root.)"	Filename (Revision3 messed up some filenames, this column is used to fix that)	Download Name (Filename that the downloader spit out, useful when downloading from youtube)	Download Link	MD5	SHA256
.	pineapple-university--0001--5-days-of-mark-v-part-1.mp4	5 Days of Mark V (part 1) - WiFi Pineapple-uo8YFlOyx98.mp4	https://www.youtube.com/watch?v=uo8YFlOyx98		
.	pineapple-university--0002--5-days-of-mark-v-part-2.mp4	5 Days of Mark V (part 2) - WiFi Pineapple-l4ia0mfskyI.mp4	https://www.youtube.com/watch?v=l4ia0mfskyI		
.	pineapple-university--0003--5-days-of-mark-v-part-3.mp4	5 Days of Mark V (part 3) - WiFi Pineapple-YOGaB1Yk0Qg.mp4	https://www.youtube.com/watch?v=YOGaB1Yk0Qg		
.	pineapple-university--0004--5-days-of-mark-v-part-4.mp4	5 Days of Mark V (part 4) - WiFi Pineapple-bjqAt48hzK0.mp4	https://www.youtube.com/watch?v=bjqAt48hzK0		
.	pineapple-university--0005--nsfw-5-days-of-mark-v-part-5.mp4	[NSFW] 5 Days of Mark V (part 5) - WiFi Pineapple EXPOSED-swlPEeQDds4.mp4	https://www.youtube.com/watch?v=swlPEeQDds4		
.	pineapple-university--0006--linux-internet-connection-sharing.mp4	Linux Internet Connection Sharing - WiFi Pineapple Mark V - Pineapple University-f94FZSJs4ms.mp4	https://www.youtube.com/watch?v=f94FZSJs4ms		
.	pineapple-university--0007--connect-to-a-nearby-ap-in-client-mode.mp4	Connect to a nearby AP in Client Mode - WiFi Pineapple Mark V - Pineapple University-TABx1aLyjyE.mp4	https://www.youtube.com/watch?v=TABx1aLyjyE		
.	pineapple-university--0008--updates-and-infusions.mp4	Updates and Infusions - WiFi Pineapple Mark V - Pineapple University-4XWywCvHMYU.mp4	https://www.youtube.com/watch?v=4XWywCvHMYU		
.	pineapple-university--0009--first-boot-and-firmware-flashing.mp4	First Boot and Firmware Flashing - WiFi Pineapple Mark V - Pineapple University-cyxGqrUUr0Q.mp4	https://www.youtube.com/watch?v=cyxGqrUUr0Q		
.	pineapple-university--0010--hardware-overview.mp4	Hardware Overview - WiFi Pineapple Mark V - Pineapple University-P9Q0SWVo8Bo.mp4	https://www.youtube.com/watch?v=P9Q0SWVo8Bo		
.	pineapple-university--0011--windows-internet-connection-sharing.mp4	Windows Internet Connection Sharing - WiFi Pineapple Mark V - Pineapple University-A2JF6sDxOGk.mp4	https://www.youtube.com/watch?v=A2JF6sDxOGk		
.	pineapple-university--0012--introduction-to-mobile-broadband.mp4	Introduction to Mobile Broadband - WiFi Pineapple Mark V - Pineapple University-t0qSU_FngRQ.mp4	https://www.youtube.com/watch?v=t0qSU_FngRQ		
.	pineapple-university--0013--4g-lte-modem-tethering.mp4	4G LTE Modem Tethering - WiFi Pineapple Mark V - Pineapple University-Sm5I7lssYNA.mp4	https://www.youtube.com/watch?v=Sm5I7lssYNA		
.	pineapple-university--0014--3g-managed-modems.mp4	3G Managed Modems - WiFi Pineapple Mark V - Pineapple University-LcD9i49kAio.mp4	https://www.youtube.com/watch?v=LcD9i49kAio		
.	pineapple-university--0015--tutorial-hijacking-dns-on-the-wifi-pineapple.mp4	Tutorial - Hijacking DNS on the WiFi Pineapple - Pineapple University-nggQan4XZ1E.mp4	https://www.youtube.com/watch?v=nggQan4XZ1E		
.	pineapple-university--0016--tutorial-sniffing-passwords-with-sslstrip-on-the-wifi-pineapple.mp4	Tutorial - Sniffing Passwords with SSLStrip on the WiFi Pineapple - Pineapple University-mf5ipnmvDxE.mp4	https://www.youtube.com/watch?v=mf5ipnmvDxE		
.	pineapple-university--0017--ominous-box-for-wifi-pineapple.mp4	Ominous Box for WiFi Pineapple-TYZbPNSlnNw.mp4	https://www.youtube.com/watch?v=TYZbPNSlnNw		
.	pineapple-university--0018--wifi-pineapple-firmware-release-2.1-pineosauria-mobilus.mp4	WiFi Pineapple Firmware Release - 2.1 'Pineosauria Mobilus' - Pineapple University-exiSy2nTc9U.mp4	https://www.youtube.com/watch?v=exiSy2nTc9U		
.	pineapple-university--0019--tutorial-unboxing-and-upgrading-wifi-pineapple-mark-v.mp4	Tutorial - Unboxing and Upgrading WiFi Pineapple Mark V - Pineapple University-267sXkui3Ug.mp4	https://www.youtube.com/watch?v=267sXkui3Ug		
